O2 flux,Exposure time (O3),Exposure time (O2)
1.00E+09,,
2.50E+09,,
3.50E+09,,
5.00E+09,,
6.00E+09,,
7.50E+09,,
8.50E+09,,
1.00E+10,,
5.00E+10,,
9.00E+10,,
1.50E+11,,
2.50E+11,,
3.00E+11,,
3.25E+11,,
3.50E+11,,
3.95E+11,,
4.20E+11,,
5.50E+11,,
