,CH4 surface flux,t_ref (JWST),t_ref (Nautilus)
0,0.01,inf,inf
1,0.1,inf,inf
2,1.0,inf,inf
3,100.0,inf,inf
4,10000.0,36464689755.48318,inf
5,1000000.0,10564026.471743917,19405.469107997473
6,100000000.0,380.72931707520837,0.9700539995173335
7,10000000000.0,0.11207527067955808,4.4585658634680155e-05
8,1000000000000.0,7.806919369347589e-08,9.045554487564685e-11
9,100000000000000.0,1.279508010603435e-08,1.1700721294781846e-11
10,1000000000000000.0,4.520946504636515e-09,2.2706375706365232e-12
