
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  4.825E+06 1.087E+01 3.515E-05 1.003E-04 2.719E-02 2.683E+07 5.783E+06 5.783E+06 1.381E+09
  4.925E+06 1.068E+01 3.433E-05 1.001E-04 2.918E-02 2.508E+07 5.249E+06 5.249E+06 1.286E+09
  5.025E+06 1.036E+01 3.365E-05 9.976E-05 3.166E-02 2.324E+07 4.833E+06 4.833E+06 1.211E+09
  5.125E+06 1.000E+01 3.303E-05 9.942E-05 3.453E-02 2.143E+07 4.486E+06 4.486E+06 1.146E+09
  5.225E+06 9.724E+00 3.239E-05 9.898E-05 3.755E-02 1.978E+07 4.156E+06 4.156E+06 1.080E+09
  5.325E+06 9.549E+00 3.166E-05 9.839E-05 4.061E-02 1.835E+07 3.825E+06 3.825E+06 1.009E+09
  5.425E+06 9.501E+00 3.083E-05 9.755E-05 4.360E-02 1.713E+07 3.486E+06 3.486E+06 9.321E+08
  5.525E+06 9.600E+00 2.988E-05 9.637E-05 4.646E-02 1.609E+07 3.139E+06 3.139E+06 8.485E+08
  5.625E+06 9.876E+00 2.880E-05 9.470E-05 4.920E-02 1.518E+07 2.788E+06 2.788E+06 7.594E+08
  5.725E+06 1.039E+01 2.756E-05 9.233E-05 5.182E-02 1.435E+07 2.438E+06 2.438E+06 6.658E+08
  5.825E+06 1.122E+01 2.616E-05 8.902E-05 5.449E-02 1.354E+07 2.098E+06 2.098E+06 5.694E+08
  5.925E+06 1.246E+01 2.460E-05 8.448E-05 5.752E-02 1.268E+07 1.784E+06 1.784E+06 4.733E+08
  6.025E+06 1.432E+01 2.285E-05 7.839E-05 6.137E-02 1.172E+07 1.505E+06 1.505E+06 3.795E+08
  6.125E+06 1.735E+01 2.084E-05 7.016E-05 6.671E-02 1.063E+07 1.263E+06 1.263E+06 2.879E+08
  6.225E+06 2.325E+01 1.836E-05 5.866E-05 7.508E-02 9.286E+06 1.055E+06 1.055E+06 1.968E+08
  6.325E+06 3.918E+01 1.497E-05 4.195E-05 9.185E-02 7.438E+06 8.754E+05 8.754E+05 1.067E+08
  6.425E+06 1.113E+02 1.025E-05 2.072E-05 1.399E-01 4.755E+06 7.182E+05 7.182E+05 3.427E+07
  6.525E+06 6.543E+02 5.499E-06 6.046E-06 2.950E-01 2.166E+06 5.748E+05 5.748E+05 5.288E+06
  6.625E+06 1.189E+03 4.362E-06 4.362E-06 3.324E-01 1.808E+06 4.428E+05 4.428E+05 2.638E+06
  6.725E+06 1.736E+03 3.716E-06 3.716E-06 3.375E-01 1.669E+06 3.394E+05 3.394E+05 1.631E+06
  6.825E+06 2.339E+03 3.242E-06 3.242E-06 3.562E-01 1.482E+06 2.786E+05 2.786E+05 1.083E+06
  6.925E+06 2.265E+03 3.066E-06 3.066E-06 4.045E-01 1.337E+06 2.924E+05 2.924E+05 9.165E+05
  7.025E+06 2.342E+03 2.866E-06 2.866E-06 4.547E-01 1.190E+06 2.925E+05 2.925E+05 7.482E+05
  7.125E+06 2.419E+03 2.684E-06 2.684E-06 5.122E-01 1.056E+06 2.926E+05 2.927E+05 6.146E+05
  7.225E+06 2.495E+03 2.519E-06 2.519E-06 5.783E-01 9.357E+05 2.928E+05 2.928E+05 5.085E+05
  7.325E+06 2.570E+03 2.371E-06 2.371E-06 6.546E-01 8.268E+05 2.929E+05 2.929E+05 4.239E+05
  7.425E+06 2.645E+03 2.238E-06 2.238E-06 7.430E-01 7.286E+05 2.931E+05 2.931E+05 3.564E+05
  7.525E+06 2.717E+03 2.118E-06 2.118E-06 8.457E-01 6.403E+05 2.932E+05 2.932E+05 3.022E+05
  7.625E+06 2.787E+03 2.011E-06 2.011E-06 9.653E-01 5.611E+05 2.934E+05 2.934E+05 2.584E+05
  7.725E+06 2.855E+03 1.913E-06 1.913E-06 1.105E+00 4.905E+05 2.936E+05 2.936E+05 2.228E+05
  7.825E+06 2.922E+03 1.825E-06 1.825E-06 1.267E+00 4.277E+05 2.937E+05 2.937E+05 1.934E+05
  7.925E+06 2.987E+03 1.745E-06 1.745E-06 1.456E+00 3.723E+05 2.939E+05 2.939E+05 1.689E+05
  8.025E+06 3.051E+03 1.671E-06 1.671E-06 1.676E+00 3.235E+05 2.941E+05 2.941E+05 1.482E+05
  8.125E+06 3.241E+03 1.580E-06 1.580E-06 1.906E+00 2.846E+05 2.942E+05 2.846E+05 1.255E+05
  8.225E+06 3.740E+03 1.457E-06 1.457E-06 2.113E+00 2.568E+05 2.944E+05 2.568E+05 9.836E+04
  8.325E+06 4.320E+03 1.346E-06 1.346E-06 2.346E+00 2.313E+05 2.946E+05 2.313E+05 7.755E+04
  8.425E+06 4.992E+03 1.245E-06 1.245E-06 2.609E+00 2.082E+05 2.948E+05 2.082E+05 6.138E+04
  8.525E+06 5.770E+03 1.153E-06 1.153E-06 2.902E+00 1.872E+05 2.951E+05 1.872E+05 4.867E+04
  8.625E+06 6.669E+03 1.067E-06 1.067E-06 3.229E+00 1.683E+05 2.953E+05 1.683E+05 3.861E+04
  8.725E+06 7.706E+03 9.873E-07 9.873E-07 3.590E+00 1.514E+05 2.956E+05 1.514E+05 3.060E+04
  8.825E+06 8.900E+03 9.129E-07 9.129E-07 3.989E+00 1.364E+05 2.958E+05 1.364E+05 2.419E+04
  8.925E+06 1.027E+04 8.430E-07 8.430E-07 4.426E+00 1.230E+05 2.961E+05 1.230E+05 1.905E+04
  9.025E+06 1.184E+04 7.771E-07 7.771E-07 4.901E+00 1.111E+05 2.964E+05 1.111E+05 1.492E+04
  9.125E+06 1.364E+04 7.147E-07 7.147E-07 5.415E+00 1.006E+05 2.967E+05 1.006E+05 1.161E+04
  9.225E+06 1.568E+04 6.555E-07 6.555E-07 5.966E+00 9.135E+04 2.970E+05 9.135E+04 8.956E+03
  9.325E+06 1.799E+04 5.992E-07 5.992E-07 6.549E+00 8.326E+04 2.974E+05 8.326E+04 6.839E+03
  9.425E+06 2.060E+04 5.453E-07 5.453E-07 7.159E+00 7.622E+04 2.977E+05 7.622E+04 5.156E+03
  9.525E+06 2.352E+04 4.938E-07 4.938E-07 7.783E+00 7.014E+04 2.980E+05 7.014E+04 3.828E+03
  9.625E+06 2.677E+04 4.442E-07 4.442E-07 8.407E+00 6.498E+04 2.984E+05 6.498E+04 2.787E+03
  9.725E+06 3.035E+04 3.964E-07 3.964E-07 9.006E+00 6.069E+04 2.987E+05 6.069E+04 1.980E+03
  9.825E+06 3.420E+04 3.498E-07 3.498E-07 9.542E+00 5.731E+04 2.991E+05 5.731E+04 1.361E+03
  9.925E+06 3.820E+04 3.032E-07 3.032E-07 9.927E+00 5.512E+04 2.994E+05 5.512E+04 8.865E+02
