
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  4.825E+06 9.889E-21 1.300E-07 1.300E-07 3.398E-10 6.458E+18 5.234E+13 2.794E+29 6.985E+01
  4.925E+06 9.861E-21 1.300E-07 1.300E-07 3.398E-10 6.477E+18 4.750E+13 2.798E+29 6.985E+01
  5.025E+06 9.809E-21 1.300E-07 1.300E-07 3.400E-10 6.510E+18 4.373E+13 2.806E+29 6.985E+01
  5.125E+06 9.756E-21 1.300E-07 1.300E-07 3.401E-10 6.543E+18 4.060E+13 2.814E+29 6.985E+01
  5.225E+06 9.717E-21 1.300E-07 1.300E-07 3.402E-10 6.569E+18 3.761E+13 2.819E+29 6.985E+01
  5.325E+06 9.688E-21 1.300E-07 1.300E-07 3.403E-10 6.588E+18 3.462E+13 2.824E+29 6.985E+01
  5.425E+06 9.670E-21 1.300E-07 1.300E-07 3.403E-10 6.602E+18 3.155E+13 2.826E+29 6.985E+01
  5.525E+06 9.664E-21 1.300E-07 1.300E-07 3.403E-10 6.608E+18 2.840E+13 2.827E+29 6.985E+01
  5.625E+06 9.675E-21 1.300E-07 1.300E-07 3.402E-10 6.603E+18 2.523E+13 2.826E+29 6.985E+01
  5.725E+06 9.718E-21 1.300E-07 1.300E-07 3.399E-10 6.581E+18 2.206E+13 2.819E+29 6.985E+01
  5.825E+06 9.800E-21 1.300E-07 1.300E-07 3.395E-10 6.535E+18 1.899E+13 2.808E+29 6.985E+01
  5.925E+06 9.914E-21 1.300E-07 1.300E-07 3.390E-10 6.470E+18 1.614E+13 2.792E+29 6.985E+01
  6.025E+06 1.005E-20 1.300E-07 1.300E-07 3.385E-10 6.395E+18 1.362E+13 2.773E+29 6.985E+01
  6.125E+06 1.020E-20 1.300E-07 1.300E-07 3.379E-10 6.311E+18 1.143E+13 2.752E+29 6.985E+01
  6.225E+06 1.037E-20 1.300E-07 1.300E-07 3.374E-10 6.216E+18 9.546E+12 2.729E+29 6.985E+01
  6.325E+06 1.059E-20 1.300E-07 1.300E-07 3.369E-10 6.101E+18 7.922E+12 2.702E+29 6.985E+01
  6.425E+06 1.088E-20 1.300E-07 1.300E-07 3.364E-10 5.948E+18 6.499E+12 2.665E+29 6.985E+01
  6.525E+06 1.133E-20 1.300E-07 1.300E-07 3.361E-10 5.718E+18 5.202E+12 2.612E+29 6.985E+01
  6.625E+06 1.204E-20 1.300E-07 1.300E-07 3.364E-10 5.375E+18 4.007E+12 2.534E+29 6.985E+01
  6.725E+06 1.285E-20 1.300E-07 1.300E-07 3.379E-10 5.015E+18 3.072E+12 2.453E+29 6.985E+01
  6.825E+06 1.372E-20 1.300E-07 1.300E-07 3.405E-10 4.664E+18 2.521E+12 2.374E+29 6.985E+01
  6.925E+06 1.339E-20 1.300E-07 1.300E-07 3.393E-10 4.794E+18 2.646E+12 2.403E+29 6.985E+01
  7.025E+06 1.339E-20 1.300E-07 1.300E-07 3.393E-10 4.796E+18 2.647E+12 2.403E+29 6.985E+01
  7.125E+06 1.339E-20 1.300E-07 1.300E-07 3.392E-10 4.798E+18 2.648E+12 2.403E+29 6.985E+01
  7.225E+06 1.339E-20 1.300E-07 1.300E-07 3.391E-10 4.800E+18 2.650E+12 2.403E+29 6.985E+01
  7.325E+06 1.339E-20 1.300E-07 1.300E-07 3.391E-10 4.802E+18 2.651E+12 2.403E+29 6.985E+01
  7.425E+06 1.339E-20 1.300E-07 1.300E-07 3.390E-10 4.804E+18 2.652E+12 2.404E+29 6.985E+01
  7.525E+06 1.339E-20 1.300E-07 1.300E-07 3.390E-10 4.806E+18 2.654E+12 2.404E+29 6.985E+01
  7.625E+06 1.339E-20 1.300E-07 1.300E-07 3.389E-10 4.808E+18 2.655E+12 2.404E+29 6.985E+01
  7.725E+06 1.339E-20 1.300E-07 1.300E-07 3.389E-10 4.810E+18 2.657E+12 2.404E+29 6.985E+01
  7.825E+06 1.339E-20 1.300E-07 1.300E-07 3.388E-10 4.812E+18 2.658E+12 2.404E+29 6.985E+01
  7.925E+06 1.338E-20 1.300E-07 1.300E-07 3.388E-10 4.814E+18 2.660E+12 2.404E+29 6.985E+01
  8.025E+06 1.338E-20 1.300E-07 1.300E-07 3.387E-10 4.816E+18 2.661E+12 2.404E+29 6.985E+01
  8.125E+06 1.338E-20 1.300E-07 1.300E-07 3.386E-10 4.819E+18 2.663E+12 2.405E+29 6.985E+01
  8.225E+06 1.338E-20 1.300E-07 1.300E-07 3.386E-10 4.821E+18 2.665E+12 2.405E+29 6.985E+01
  8.325E+06 1.338E-20 1.300E-07 1.300E-07 3.385E-10 4.823E+18 2.666E+12 2.405E+29 6.985E+01
  8.425E+06 1.338E-20 1.300E-07 1.300E-07 3.385E-10 4.826E+18 2.668E+12 2.405E+29 6.985E+01
  8.525E+06 1.338E-20 1.300E-07 1.300E-07 3.384E-10 4.829E+18 2.670E+12 2.405E+29 6.985E+01
  8.625E+06 1.338E-20 1.300E-07 1.300E-07 3.384E-10 4.831E+18 2.672E+12 2.405E+29 6.985E+01
  8.725E+06 1.338E-20 1.300E-07 1.300E-07 3.383E-10 4.834E+18 2.675E+12 2.405E+29 6.985E+01
  8.825E+06 1.338E-20 1.300E-07 1.300E-07 3.383E-10 4.837E+18 2.677E+12 2.406E+29 6.985E+01
  8.925E+06 1.338E-20 1.300E-07 1.300E-07 3.382E-10 4.840E+18 2.680E+12 2.406E+29 6.985E+01
  9.025E+06 1.338E-20 1.300E-07 1.300E-07 3.381E-10 4.844E+18 2.682E+12 2.406E+29 6.985E+01
  9.125E+06 1.338E-20 1.300E-07 1.300E-07 3.381E-10 4.847E+18 2.685E+12 2.406E+29 6.985E+01
  9.225E+06 1.337E-20 1.300E-07 1.300E-07 3.380E-10 4.850E+18 2.688E+12 2.406E+29 6.985E+01
  9.325E+06 1.337E-20 1.300E-07 1.300E-07 3.380E-10 4.854E+18 2.691E+12 2.406E+29 6.985E+01
  9.425E+06 1.337E-20 1.300E-07 1.300E-07 3.379E-10 4.857E+18 2.694E+12 2.407E+29 6.985E+01
  9.525E+06 1.337E-20 1.300E-07 1.300E-07 3.379E-10 4.861E+18 2.697E+12 2.407E+29 6.985E+01
  9.625E+06 1.337E-20 1.300E-07 1.300E-07 3.378E-10 4.865E+18 2.700E+12 2.407E+29 6.985E+01
  9.725E+06 1.337E-20 1.300E-07 1.300E-07 3.378E-10 4.868E+18 2.703E+12 2.407E+29 6.985E+01
  9.825E+06 1.337E-20 1.300E-07 1.300E-07 3.377E-10 4.872E+18 2.707E+12 2.407E+29 6.985E+01
  9.925E+06 1.337E-20 1.300E-07 1.300E-07 3.376E-10 4.875E+18 2.710E+12 2.407E+29 6.985E+01
