
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  4.825E+06 1.154E+01 4.106E-05 1.008E-04 4.295E-02 1.698E+07 5.783E+06 5.783E+06 2.202E+09
  4.925E+06 1.138E+01 4.005E-05 1.008E-04 4.566E-02 1.602E+07 5.249E+06 5.249E+06 2.042E+09
  5.025E+06 1.110E+01 3.919E-05 1.008E-04 4.905E-02 1.500E+07 4.833E+06 4.833E+06 1.914E+09
  5.125E+06 1.077E+01 3.843E-05 1.008E-04 5.296E-02 1.397E+07 4.486E+06 4.486E+06 1.805E+09
  5.225E+06 1.052E+01 3.764E-05 1.007E-04 5.697E-02 1.304E+07 4.156E+06 4.156E+06 1.695E+09
  5.325E+06 1.037E+01 3.677E-05 1.007E-04 6.084E-02 1.225E+07 3.825E+06 3.825E+06 1.581E+09
  5.425E+06 1.035E+01 3.581E-05 1.005E-04 6.439E-02 1.160E+07 3.486E+06 3.486E+06 1.459E+09
  5.525E+06 1.048E+01 3.472E-05 1.002E-04 6.746E-02 1.108E+07 3.139E+06 3.139E+06 1.331E+09
  5.625E+06 1.077E+01 3.351E-05 9.969E-05 6.999E-02 1.067E+07 2.788E+06 2.788E+06 1.196E+09
  5.725E+06 1.128E+01 3.216E-05 9.881E-05 7.196E-02 1.033E+07 2.438E+06 2.438E+06 1.058E+09
  5.825E+06 1.205E+01 3.068E-05 9.738E-05 7.350E-02 1.003E+07 2.098E+06 2.098E+06 9.182E+08
  5.925E+06 1.313E+01 2.909E-05 9.518E-05 7.499E-02 9.723E+06 1.784E+06 1.784E+06 7.824E+08
  6.025E+06 1.456E+01 2.740E-05 9.198E-05 7.688E-02 9.358E+06 1.505E+06 1.505E+06 6.538E+08
  6.125E+06 1.649E+01 2.560E-05 8.748E-05 7.959E-02 8.907E+06 1.263E+06 1.263E+06 5.333E+08
  6.225E+06 1.931E+01 2.364E-05 8.125E-05 8.357E-02 8.343E+06 1.055E+06 1.055E+06 4.198E+08
  6.325E+06 2.401E+01 2.138E-05 7.248E-05 8.967E-02 7.619E+06 8.754E+05 8.754E+05 3.108E+08
  6.425E+06 3.380E+01 1.856E-05 5.963E-05 1.003E-01 6.628E+06 7.182E+05 7.182E+05 2.034E+08
  6.525E+06 6.528E+01 1.453E-05 3.976E-05 1.259E-01 5.076E+06 5.748E+05 5.748E+05 9.745E+07
  6.625E+06 2.795E+02 8.731E-06 1.514E-05 2.215E-01 2.713E+06 4.428E+05 4.428E+05 2.116E+07
  6.725E+06 1.528E+03 4.796E-06 4.796E-06 4.360E-01 1.292E+06 3.394E+05 3.394E+05 3.507E+06
  6.825E+06 2.062E+03 4.173E-06 4.173E-06 4.589E-01 1.150E+06 2.786E+05 2.786E+05 2.311E+06
  6.925E+06 1.999E+03 3.937E-06 3.937E-06 5.198E-01 1.040E+06 2.924E+05 2.924E+05 1.941E+06
  7.025E+06 2.069E+03 3.671E-06 3.671E-06 5.829E-01 9.279E+05 2.925E+05 2.925E+05 1.572E+06
  7.125E+06 2.140E+03 3.429E-06 3.429E-06 6.550E-01 8.259E+05 2.926E+05 2.927E+05 1.282E+06
  7.225E+06 2.210E+03 3.212E-06 3.212E-06 7.378E-01 7.334E+05 2.928E+05 2.928E+05 1.053E+06
  7.325E+06 2.279E+03 3.016E-06 3.016E-06 8.333E-01 6.495E+05 2.929E+05 2.929E+05 8.724E+05
  7.425E+06 2.347E+03 2.841E-06 2.841E-06 9.439E-01 5.735E+05 2.931E+05 2.931E+05 7.290E+05
  7.525E+06 2.414E+03 2.684E-06 2.684E-06 1.072E+00 5.049E+05 2.932E+05 2.932E+05 6.147E+05
  7.625E+06 2.478E+03 2.543E-06 2.543E-06 1.222E+00 4.433E+05 2.934E+05 2.934E+05 5.229E+05
  7.725E+06 2.541E+03 2.416E-06 2.416E-06 1.396E+00 3.881E+05 2.936E+05 2.936E+05 4.486E+05
  7.825E+06 2.602E+03 2.302E-06 2.302E-06 1.599E+00 3.390E+05 2.937E+05 2.937E+05 3.876E+05
  7.925E+06 2.662E+03 2.197E-06 2.197E-06 1.835E+00 2.955E+05 2.939E+05 2.939E+05 3.370E+05
  8.025E+06 3.054E+03 2.023E-06 2.023E-06 2.031E+00 2.670E+05 2.941E+05 2.670E+05 2.631E+05
  8.125E+06 3.523E+03 1.864E-06 1.864E-06 2.251E+00 2.410E+05 2.942E+05 2.410E+05 2.060E+05
  8.225E+06 4.069E+03 1.722E-06 1.722E-06 2.499E+00 2.172E+05 2.944E+05 2.172E+05 1.623E+05
  8.325E+06 4.702E+03 1.592E-06 1.592E-06 2.778E+00 1.954E+05 2.946E+05 1.954E+05 1.284E+05
  8.425E+06 5.436E+03 1.474E-06 1.474E-06 3.090E+00 1.757E+05 2.948E+05 1.757E+05 1.018E+05
  8.525E+06 6.284E+03 1.364E-06 1.364E-06 3.438E+00 1.580E+05 2.951E+05 1.580E+05 8.076E+04
  8.625E+06 7.262E+03 1.263E-06 1.263E-06 3.825E+00 1.421E+05 2.953E+05 1.421E+05 6.405E+04
  8.725E+06 8.391E+03 1.168E-06 1.168E-06 4.253E+00 1.278E+05 2.956E+05 1.278E+05 5.072E+04
  8.825E+06 9.689E+03 1.080E-06 1.080E-06 4.723E+00 1.152E+05 2.958E+05 1.152E+05 4.005E+04
  8.925E+06 1.118E+04 9.970E-07 9.970E-07 5.239E+00 1.039E+05 2.961E+05 1.039E+05 3.151E+04
  9.025E+06 1.289E+04 9.190E-07 9.190E-07 5.802E+00 9.384E+04 2.964E+05 9.384E+04 2.468E+04
  9.125E+06 1.484E+04 8.456E-07 8.456E-07 6.412E+00 8.495E+04 2.967E+05 8.495E+04 1.922E+04
  9.225E+06 1.707E+04 7.762E-07 7.762E-07 7.071E+00 7.708E+04 2.970E+05 7.708E+04 1.487E+04
  9.325E+06 1.961E+04 7.108E-07 7.108E-07 7.775E+00 7.013E+04 2.974E+05 7.013E+04 1.142E+04
  9.425E+06 2.249E+04 6.488E-07 6.488E-07 8.524E+00 6.401E+04 2.977E+05 6.401E+04 8.683E+03
  9.525E+06 2.574E+04 5.901E-07 5.901E-07 9.310E+00 5.864E+04 2.980E+05 5.864E+04 6.534E+03
  9.625E+06 2.939E+04 5.345E-07 5.345E-07 1.012E+01 5.396E+04 2.984E+05 5.396E+04 4.855E+03
  9.725E+06 3.347E+04 4.813E-07 4.813E-07 1.094E+01 4.994E+04 2.987E+05 4.994E+04 3.545E+03
  9.825E+06 3.790E+04 4.288E-07 4.288E-07 1.171E+01 4.672E+04 2.991E+05 4.672E+04 2.507E+03
  9.925E+06 4.227E+04 3.707E-07 3.707E-07 1.215E+01 4.505E+04 2.994E+05 4.505E+04 1.620E+03
