
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  4.825E+06 6.535E-05 1.236E-04 2.757E-04 2.042E-06 1.075E+15 5.234E+13 5.234E+13 6.007E+10
  4.925E+06 7.192E-05 1.197E-04 2.649E-04 1.928E-06 1.142E+15 4.750E+13 4.750E+13 5.458E+10
  5.025E+06 7.799E-05 1.164E-04 2.558E-04 1.829E-06 1.210E+15 4.373E+13 4.373E+13 5.020E+10
  5.125E+06 8.388E-05 1.135E-04 2.478E-04 1.743E-06 1.277E+15 4.060E+13 4.060E+13 4.653E+10
  5.225E+06 9.041E-05 1.107E-04 2.400E-04 1.662E-06 1.345E+15 3.761E+13 3.761E+13 4.309E+10
  5.325E+06 9.810E-05 1.077E-04 2.319E-04 1.581E-06 1.418E+15 3.462E+13 3.462E+13 3.967E+10
  5.425E+06 1.075E-04 1.044E-04 2.232E-04 1.498E-06 1.500E+15 3.155E+13 3.155E+13 3.620E+10
  5.525E+06 1.193E-04 1.009E-04 2.139E-04 1.411E-06 1.593E+15 2.840E+13 2.840E+13 3.266E+10
  5.625E+06 1.341E-04 9.711E-05 2.039E-04 1.323E-06 1.698E+15 2.523E+13 2.523E+13 2.912E+10
  5.725E+06 1.532E-04 9.307E-05 1.933E-04 1.235E-06 1.812E+15 2.206E+13 2.206E+13 2.563E+10
  5.825E+06 1.780E-04 8.882E-05 1.824E-04 1.148E-06 1.933E+15 1.899E+13 1.899E+13 2.228E+10
  5.925E+06 2.093E-04 8.450E-05 1.713E-04 1.064E-06 2.060E+15 1.614E+13 1.614E+13 1.918E+10
  6.025E+06 2.481E-04 8.022E-05 1.606E-04 9.853E-07 2.197E+15 1.362E+13 1.362E+13 1.642E+10
  6.125E+06 2.956E-04 7.607E-05 1.504E-04 9.109E-07 2.341E+15 1.143E+13 1.143E+13 1.400E+10
  6.225E+06 3.538E-04 7.207E-05 1.409E-04 8.414E-07 2.493E+15 9.546E+12 9.546E+12 1.190E+10
  6.325E+06 4.262E-04 6.820E-05 1.321E-04 7.765E-07 2.647E+15 7.922E+12 7.922E+12 1.009E+10
  6.425E+06 5.196E-04 6.443E-05 1.241E-04 7.156E-07 2.796E+15 6.499E+12 6.499E+12 8.502E+09
  6.525E+06 6.497E-04 6.062E-05 1.170E-04 6.585E-07 2.919E+15 5.202E+12 5.202E+12 7.084E+09
  6.625E+06 8.434E-04 5.672E-05 1.108E-04 6.051E-07 2.988E+15 4.007E+12 4.007E+12 5.802E+09
  6.725E+06 1.098E-03 5.310E-05 1.064E-04 5.532E-07 3.063E+15 3.072E+12 3.072E+12 4.760E+09
  6.825E+06 1.265E-03 5.176E-05 1.051E-04 5.560E-07 2.856E+15 2.521E+12 2.653E+12 4.408E+09
  6.925E+06 1.236E-03 5.176E-05 1.051E-04 5.417E-07 3.003E+15 2.646E+12 2.721E+12 4.408E+09
  7.025E+06 1.236E-03 5.176E-05 1.051E-04 5.416E-07 3.004E+15 2.647E+12 2.721E+12 4.408E+09
  7.125E+06 1.236E-03 5.176E-05 1.051E-04 5.415E-07 3.005E+15 2.648E+12 2.720E+12 4.408E+09
  7.225E+06 1.236E-03 5.176E-05 1.051E-04 5.414E-07 3.007E+15 2.650E+12 2.720E+12 4.408E+09
  7.325E+06 1.236E-03 5.176E-05 1.051E-04 5.413E-07 3.008E+15 2.651E+12 2.720E+12 4.408E+09
  7.425E+06 1.236E-03 5.176E-05 1.051E-04 5.411E-07 3.010E+15 2.652E+12 2.719E+12 4.408E+09
  7.525E+06 1.237E-03 5.176E-05 1.051E-04 5.410E-07 3.011E+15 2.654E+12 2.719E+12 4.408E+09
  7.625E+06 1.237E-03 5.176E-05 1.051E-04 5.409E-07 3.013E+15 2.655E+12 2.719E+12 4.408E+09
  7.725E+06 1.237E-03 5.176E-05 1.051E-04 5.408E-07 3.014E+15 2.657E+12 2.718E+12 4.408E+09
  7.825E+06 1.237E-03 5.176E-05 1.051E-04 5.407E-07 3.015E+15 2.658E+12 2.718E+12 4.408E+09
  7.925E+06 1.237E-03 5.176E-05 1.051E-04 5.405E-07 3.017E+15 2.660E+12 2.718E+12 4.408E+09
  8.025E+06 1.237E-03 5.176E-05 1.051E-04 5.404E-07 3.019E+15 2.661E+12 2.717E+12 4.408E+09
  8.125E+06 1.237E-03 5.176E-05 1.051E-04 5.403E-07 3.020E+15 2.663E+12 2.717E+12 4.408E+09
  8.225E+06 1.238E-03 5.176E-05 1.051E-04 5.402E-07 3.022E+15 2.665E+12 2.717E+12 4.408E+09
  8.325E+06 1.238E-03 5.176E-05 1.051E-04 5.401E-07 3.024E+15 2.666E+12 2.716E+12 4.408E+09
  8.425E+06 1.238E-03 5.176E-05 1.051E-04 5.399E-07 3.025E+15 2.668E+12 2.716E+12 4.408E+09
  8.525E+06 1.238E-03 5.176E-05 1.051E-04 5.398E-07 3.027E+15 2.670E+12 2.716E+12 4.408E+09
  8.625E+06 1.238E-03 5.176E-05 1.051E-04 5.397E-07 3.029E+15 2.672E+12 2.715E+12 4.408E+09
  8.725E+06 1.238E-03 5.176E-05 1.051E-04 5.396E-07 3.031E+15 2.675E+12 2.715E+12 4.408E+09
  8.825E+06 1.238E-03 5.176E-05 1.051E-04 5.395E-07 3.033E+15 2.677E+12 2.715E+12 4.408E+09
  8.925E+06 1.239E-03 5.176E-05 1.051E-04 5.393E-07 3.035E+15 2.680E+12 2.714E+12 4.408E+09
  9.025E+06 1.239E-03 5.176E-05 1.051E-04 5.392E-07 3.037E+15 2.682E+12 2.714E+12 4.408E+09
  9.125E+06 1.239E-03 5.176E-05 1.051E-04 5.391E-07 3.040E+15 2.685E+12 2.714E+12 4.408E+09
  9.225E+06 1.239E-03 5.176E-05 1.051E-04 5.390E-07 3.042E+15 2.688E+12 2.713E+12 4.408E+09
  9.325E+06 1.239E-03 5.176E-05 1.051E-04 5.389E-07 3.044E+15 2.691E+12 2.713E+12 4.408E+09
  9.425E+06 1.239E-03 5.176E-05 1.051E-04 5.387E-07 3.047E+15 2.694E+12 2.713E+12 4.408E+09
  9.525E+06 1.239E-03 5.176E-05 1.051E-04 5.386E-07 3.049E+15 2.697E+12 2.713E+12 4.408E+09
  9.625E+06 1.240E-03 5.176E-05 1.051E-04 5.385E-07 3.052E+15 2.700E+12 2.712E+12 4.408E+09
  9.725E+06 1.240E-03 5.176E-05 1.051E-04 5.384E-07 3.054E+15 2.703E+12 2.712E+12 4.408E+09
  9.825E+06 1.240E-03 5.176E-05 1.051E-04 5.383E-07 3.056E+15 2.707E+12 2.712E+12 4.408E+09
  9.925E+06 1.240E-03 5.176E-05 1.051E-04 5.381E-07 3.059E+15 2.710E+12 2.711E+12 4.408E+09
